Hospital:1|34,13,5|1,2,3,4,5
Hospital:2|29,43,9|6,7,8,9,10,11,12,13,14
Hospital:3|80,25,6|15,16,17,18,19,20
Hospital:4|26,80,11|21,22,23,24,25,26,27,28,29,30,31
Hospital:5|79,75,10|32,33,34,35,36,37,38,39,40,41
Ambulance:1|34,13|264,34,16,95;121,29,20,81;223,25,21,60;37,12,23,90|34,13
Ambulance:1|34,13|103,38,7,13|34,13
Ambulance:2|34,13|181,39,13,107;222,43,12,31;38,48,12,80;250,48,5,37|34,13
Ambulance:2|34,13|90,30,3,1;78,7,11,15|34,13
Ambulance:3|34,13|97,31,16,90;275,31,24,103;255,25,22,69;292,19,31,39|29,43
Ambulance:3|29,43|263,15,49,7;28,6,48,19|29,43
Ambulance:4|34,13|76,42,13,109;20,44,15,30;226,44,18,61;284,49,20,87|34,13
Ambulance:4|34,13|174,41,5,29;12,59,9,9;135,66,5,29|80,25
Ambulance:5|34,13|105,26,12,109;147,26,11,63;69,25,11,47;141,30,6,62|34,13
Ambulance:5|34,13|74,44,4,22|34,13
Ambulance:5|34,13|49,7,16,13|34,13
Ambulance:6|29,43|179,31,44,92;281,30,57,39;52,38,57,55;224,40,61,52|29,43
Ambulance:6|29,43|235,16,55,10;91,12,61,25|26,80
Ambulance:7|29,43|182,26,45,47;276,23,52,73;95,20,59,98;160,17,63,94|26,80
Ambulance:7|26,80|87,11,78,21;280,3,94,22;221,2,94,12|26,80
Ambulance:8|29,43|116,31,39,41;270,37,34,100;242,40,28,31;231,46,31,28|29,43
Ambulance:8|29,43|25,17,30,19|29,43
Ambulance:9|29,43|127,34,40,28;112,42,38,44;176,45,44,28;232,42,49,25|29,43
Ambulance:9|29,43|108,12,35,17;262,6,37,32|29,43
Ambulance:10|29,43|189,30,35,60;56,30,24,19;40,42,22,54;96,52,23,91|34,13
Ambulance:10|34,13|237,51,4,17|34,13
Ambulance:11|29,43|287,22,39,86;238,16,35,62;144,15,33,65;1,15,33,38|29,43
Ambulance:11|29,43|279,12,35,14;33,4,34,37|29,43
Ambulance:12|29,43|219,32,52,46;59,38,54,38;167,43,55,104;125,41,50,92|29,43
Ambulance:12|29,43|133,51,41,7|29,43
Ambulance:13|29,43|57,18,40,96;146,13,41,99;162,13,45,102;27,10,46,53|29,43
Ambulance:13|29,43|148,4,43,32|29,43
Ambulance:14|29,43|214,29,57,44;153,30,63,82;228,34,66,5;213,39,71,43|26,80
Ambulance:14|26,80|154,8,80,21|26,80
Ambulance:15|80,25|282,78,29,57;85,76,30,43;60,74,29,48;131,68,28,49|80,25
Ambulance:15|80,25|126,68,22,18;295,53,23,14;177,52,32,6|29,43
Ambulance:16|80,25|9,86,26,110;41,84,31,69;239,88,33,50;100,90,32,67|80,25
Ambulance:16|80,25|300,67,22,22;113,63,35,19;268,55,41,11;294,57,50,9|29,43
Ambulance:17|80,25|48,85,23,76;84,85,18,39;253,82,13,99;209,86,5,34|80,25
Ambulance:17|80,25|169,81,40,13;293,77,45,36|80,25
Ambulance:18|80,25|155,84,21,44;63,83,14,50;110,78,9,87;261,72,6,57|80,25
Ambulance:18|80,25|234,64,26,32|80,25
Ambulance:18|80,25|273,96,33,2|80,25
Ambulance:19|80,25|5,80,16,66;283,80,15,88;208,76,9,8;216,66,10,73|80,25
Ambulance:19|80,25|17,80,47,31;118,91,39,22|80,25
Ambulance:20|80,25|58,88,24,61;30,93,24,102;2,92,25,54;80,92,28,64|80,25
Ambulance:20|80,25|277,69,19,9|80,25
Ambulance:20|80,25|178,97,4,11|80,25
Ambulance:21|26,80|53,26,83,74;191,27,91,60;194,32,92,68;240,35,92,39|26,80
Ambulance:21|26,80|10,9,75,8|26,80
Ambulance:22|26,80|163,23,78,64;291,15,78,110;132,16,77,96;241,14,76,93|26,80
Ambulance:22|26,80|166,46,78,5|26,80
Ambulance:23|26,80|94,27,84,32;142,31,88,98;183,34,86,72;192,38,87,115|26,80
Ambulance:23|26,80|19,34,97,43|26,80
Ambulance:24|26,80|31,24,85,84;200,24,95,41;196,26,97,22;72,31,98,37|26,80
Ambulance:24|26,80|187,49,76,28|26,80
Ambulance:25|26,80|122,23,75,84;54,24,70,27;156,36,69,47;265,40,63,63|29,43
Ambulance:25|29,43|203,8,49,30|29,43
Ambulance:26|26,80|124,27,72,108;175,32,74,72;68,37,72,77;3,38,76,32|26,80
Ambulance:26|26,80|210,16,65,6|26,80
Ambulance:27|26,80|22,25,73,3;134,32,69,76;245,40,68,45;195,48,64,12|26,80
Ambulance:27|26,80|180,48,86,11|26,80
Ambulance:28|26,80|101,29,75,20;88,32,67,94;298,41,69,61;220,42,78,23|26,80
Ambulance:28|26,80|197,52,85,5;201,62,96,13|79,75
Ambulance:29|26,80|244,34,81,94;185,38,80,86;26,38,83,97;259,40,84,56|26,80
Ambulance:29|26,80|36,2,84,5;61,2,87,14|26,80
Ambulance:30|26,80|266,21,84,52;29,17,82,21;13,15,87,40;257,15,96,70|26,80
Ambulance:30|26,80|230,50,73,30|26,80
