Hospital:1|77,293,11|1,2,3,4,5,6,7,8,9,10,11
Hospital:2|38,43,6|12,13,14,15,16,17
Hospital:3|41,155,11|18,19,20,21,22,23,24,25,26,27,28
Hospital:4|103,22,6|29,30,31,32,33,34
Hospital:5|32,99,7|35,36,37,38,39,40,41
Ambulance:1|77,293|199,76,285,49;189,90,285,64;251,89,270,36;280,89,265,33|77,293
Ambulance:2|77,293|162,74,285,43;154,68,278,55;129,65,274,52;281,62,273,92|77,293
Ambulance:2|77,293|170,47,283,4|77,293
Ambulance:3|77,293|178,82,300,93;18,90,302,65;208,91,306,1;59,92,311,31|77,293
Ambulance:4|77,293|74,75,304,11;82,70,306,36;101,69,313,27;249,87,318,12|77,293
Ambulance:5|77,293|91,78,307,85;183,77,312,22;30,71,314,41|77,293
Ambulance:5|77,293|24,73,272,41|77,293
Ambulance:6|77,293|219,80,280,61;269,82,276,64;69,83,265,26;61,83,262,18|77,293
Ambulance:7|77,293|60,77,309,4;187,67,309,36;188,67,316,22;130,106,315,35|77,293
Ambulance:8|77,293|83,72,305,52;76,70,306,30;192,78,323,26|77,293
Ambulance:8|77,293|131,51,284,13|77,293
Ambulance:9|77,293|94,74,308,17;196,69,312,50;44,91,313,56;38,98,308,1|77,293
Ambulance:10|77,293|39,83,306,66;62,88,305,78;40,89,312,10|77,293
Ambulance:10|77,293|93,61,272,3|77,293
Ambulance:11|77,293|88,80,308,10;114,87,313,28;289,91,313,14;283,86,323,2|77,293
Ambulance:12|38,43|4,41,42,42;256,41,51,76;128,40,52,80;108,38,52,42|38,43
Ambulance:12|38,43|165,34,52,26;34,35,79,9|32,99
Ambulance:13|38,43|226,43,43,112;204,48,36,91;23,53,37,106;207,57,39,31|38,43
Ambulance:13|38,43|197,50,50,31|38,43
Ambulance:14|38,43|66,38,36,82;274,35,35,108;279,25,38,17;107,19,40,42|38,43
Ambulance:14|38,43|157,56,41,38|38,43
Ambulance:15|38,43|22,33,46,111;174,28,46,95;240,23,43,23;173,18,41,105|38,43
Ambulance:15|38,43|86,56,45,34;298,58,46,2|38,43
Ambulance:16|38,43|198,39,36,41;17,30,39,78;195,21,39,63;117,19,48,76|38,43
Ambulance:16|38,43|143,53,54,17|38,43
Ambulance:17|38,43|70,29,42,73;140,27,38,59;55,18,39,44;222,22,53,25|38,43
Ambulance:17|38,43|271,63,39,18|38,43
Ambulance:18|41,155|54,39,153,90;75,37,146,73;267,36,145,30;260,28,147,111|41,155
Ambulance:18|41,155|205,51,159,12|41,155
Ambulance:19|41,155|63,39,159,57;15,38,164,46;223,37,168,61;102,48,165,115|41,155
Ambulance:19|41,155|51,51,159,6|41,155
Ambulance:20|41,155|193,42,161,79;287,48,161,48;284,48,164,54;139,49,163,35|41,155
Ambulance:20|41,155|185,30,151,11;255,28,149,6|41,155
Ambulance:21|41,155|6,46,153,29;71,47,146,22;1,56,146,106;95,55,147,77|41,155
Ambulance:21|41,155|147,28,149,18;19,22,144,18|41,155
Ambulance:22|41,155|202,45,150,87;90,45,140,63;215,52,140,80;125,58,145,64|41,155
Ambulance:22|41,155|179,59,154,13|41,155
Ambulance:23|41,155|228,35,159,83;127,27,160,99;105,25,159,88;120,21,155,68|41,155
Ambulance:23|41,155|10,50,165,2|41,155
Ambulance:24|41,155|218,38,162,61;282,38,167,42;238,33,169,64;68,25,169,26|41,155
Ambulance:24|41,155|186,23,151,8;67,13,144,21|41,155
Ambulance:25|41,155|239,42,145,100;161,36,145,45;26,35,144,37;87,33,139,41|41,155
Ambulance:25|41,155|31,19,153,20;160,14,159,18|41,155
Ambulance:26|41,155|176,34,160,107;288,24,160,96;276,22,163,80;214,21,163,28|41,155
Ambulance:26|41,155|21,54,168,15|41,155
Ambulance:27|41,155|119,48,151,35;257,50,144,10;292,52,141,69;33,59,146,7|41,155
Ambulance:27|41,155|297,65,161,19;232,63,166,19|41,155
Ambulance:28|41,155|80,45,146,96;300,47,141,79;224,52,139,46;32,59,153,51|41,155
Ambulance:28|41,155|237,39,127,19;115,33,126,8|32,99
Ambulance:29|103,22|109,102,19,64;134,98,17,34;258,95,14,26;246,91,12,113|103,22
Ambulance:29|103,22|78,110,31,29|103,22
Ambulance:29|103,22|7,96,5,3;293,88,8,2|103,22
Ambulance:30|103,22|190,99,22,52;211,99,28,79;181,97,28,63;12,88,28,94|103,22
Ambulance:30|103,22|79,89,26,19;25,80,25,9;182,79,31,13|103,22
Ambulance:31|103,22|142,99,22,42;229,97,27,100;167,92,28,30;209,90,26,61|103,22
